t;p.can_tdist;p.can_tfuel
1530251149;3837400;11272
1530251181;3837600;11284
1530251230;3837600;11284
1530251241;3837600;11284
1530251252;3837600;11284
1530251255;3837600;11284
1530251271;3838100;11323
1530251307;3838100;11323
1530251318;3838100;11323
1530251329;3838100;11323
1530251334;3838100;11323
1530251342;3838600;11356
1530251380;3838600;11356
1530251388;3838600;11356
1530251448;3839300;11424
1530251502;3839800;11457
1530251547;3840300;11502
1530251607;3841000;11558
1530251608;3841000;11564
1530251609;3841000;11564
1530251612;3841000;11564
1530251627;3841000;11564
1530251631;3841000;11564
1530251637;3841300;11608
1530251638;3841300;11608
1530251648;3841500;11620
1530251658;3841500;11625
1530251666;3841500;11625
1530251666;3841500;11625
1530251669;3841500;11636
1530251670;3841500;11636
1530251672;3841500;11642
1530251707;3841800;11659
1530251720;3841900;11664
1530251733;3841900;11664
1530251744;3841900;11664
1530251750;3841900;11664
1530251760;3842200;11687
1530251775;3842200;11687
1530251775;3842200;11687
1530251781;3842300;11709
1530251800;3842400;11715
1530251801;3842400;11715
1530253878;3842400;11715
1530253878;3842400;11715
1530253889;3842400;11726
1530253907;3842400;11726
1530253918;3842400;11726
1530253920;3842400;11726
1530253925;3842600;11748
1530253927;3842600;11748
1530253937;3842700;11760
1530253941;3842700;11765
1530253954;3842800;11771
1530253958;3842900;11788
1530253984;3843200;11810
1530253999;3843400;11816
1530254001;3843400;11816
1530254003;3843400;11821
1530254005;3843400;11821
1530254008;3843400;11821
1530254019;3843400;11821
1530254050;3843400;11821
1530254062;3843400;11821
1530254073;3843400;11821
1530254109;3843400;11821
1530254119;3843400;11821
1530254153;3843400;11821
1530254163;3843400;11821
1530254173;3844000;11894
1530254234;3844000;11894
1530254245;3844000;11894
1530254245;3844000;11894
1530254283;3844400;11939
1530254302;3844400;11939
1530254313;3844400;11939
1530254324;3844400;11939
1530254335;3844400;11939
1530254346;3844400;11939
1530254357;3844400;11939
1530254368;3844400;11939
1530254379;3844400;11939
1530254383;3844400;11939
1530254389;3845700;12000
1530254403;3845700;12000
1530254414;3845700;12000
1530254423;3845700;12000
1530254453;3846200;12040
1530254482;3846300;12045
1530254546;3846500;12084
1530254547;3846500;12084
1530254571;3846600;12101
1530254628;3846600;12101
1530254640;3846600;12101
1530254666;3846600;12101
1530254677;3846600;12101
1530254688;3846600;12101
1530254727;3846600;12101
1530254738;3846600;12101
1530254749;3846600;12101
1530254760;3846600;12101
1530254771;3846600;12101
1530254782;3846600;12101
1530254793;3846600;12101
1530254804;3846600;12101
1530254815;3846600;12101
1530254815;3846600;12101
1530254828;3848400;12247
1530254861;3848600;12258
1530254889;3848600;12258
1530254899;3848600;12258
1530254953;3849500;12314
1530254968;3849700;12320
1530254970;3849700;12325
1530254976;3849700;12331
1530255017;3850200;12353
1530255027;3850200;12353
1530255039;3850200;12353
1530255050;3850200;12353
1530255061;3850200;12353
1530255122;3851900;12465
1530255183;3853300;12521
1530255243;3854700;12566
1530255303;3856000;12605
1530255363;3857400;12667
1530255423;3858800;12751
1530255430;3858900;12756
1530255433;3859000;12756
1530255435;3859000;12756
1530255438;3859100;12762
1530255440;3859100;12762
1530255442;3859100;12762
1530255446;3859200;12768
1530255497;3860000;12824
1530255501;3860100;12829
1530255515;3860300;12835
1530255520;3860400;12852
1530255523;3860500;12868
1530255583;3861900;12941
1530255643;3862900;12975
1530255703;3864000;13031
1530255729;3864200;13036
1530255753;3864200;13036
1530255764;3864200;13036
1530255775;3864200;13036
1530255786;3864200;13036
1530255797;3864200;13036
1530255808;3864200;13036
1530255819;3864200;13036
1530255829;3864200;13036
1530255885;3866200;13165
1530255906;3866200;13165
1530255917;3866200;13165
1530255928;3866200;13165
1530255939;3866200;13165
1530255945;3866200;13165
1530255983;3867500;13249
1530256039;3867500;13249
1530256051;3867500;13249
1530256062;3867500;13249
1530256073;3867500;13249
1530256128;3867500;13249
1530256140;3867500;13249
1530256150;3867500;13249
1530256161;3867500;13249
1530256172;3867500;13249
1530256183;3867500;13249
1530256194;3867500;13249
1530256205;3867500;13249
1530256216;3867500;13249
1530256227;3867500;13249
1530256238;3867500;13249
1530256249;3867500;13249
1530256260;3867500;13249
1530256271;3867500;13249
1530256282;3867500;13249
1530256293;3867500;13249
1530256304;3867500;13249
1530256315;3867500;13249
1530256326;3867500;13249
1530256337;3867500;13249
1530256348;3867500;13249
1530256359;3867500;13249
1530256370;3867500;13249
1530256381;3867500;13249
1530256392;3867500;13249
1530256403;3867500;13249
1530256414;3867500;13249
1530256425;3867500;13249
1530256436;3867500;13249
1530256447;3867500;13249
1530256458;3867500;13249
1530256469;3867500;13249
1530256480;3867500;13249
1530256491;3867500;13249
1530256502;3867500;13249
1530256513;3867500;13249
1530256524;3867500;13249
1530256535;3867500;13249
1530256546;3867500;13249
1530256548;3867500;13249
1530256595;3873800;13647
1530256625;3874200;13664
1530256632;3874300;13675
1530256670;3874900;13703
1530256674;3874900;13703
1530256712;3875700;13764
1530256740;3876400;13837
1530256743;3876500;13837
1530256766;3876800;13843
1530256768;3876800;13843
1530256769;3876800;13843
1530256770;3876800;13843
1530256786;3877000;13848
